Date,Matcha (South Korea),Zero (South Korea),Protein (South Korea),Vegan (South Korea),Slow Aging (South Korea)
2024-06-23,9,33,17,9,0
2024-06-30,13,55,23,7,0
2024-07-07,13,50,19,7,0
2024-07-14,14,46,21,7,0
2024-07-21,14,40,25,8,0
2024-07-28,9,35,20,5,0
2024-08-04,11,42,16,8,0
2024-08-11,13,40,18,7,0
2024-08-18,13,35,21,9,0
2024-08-25,13,32,18,8,0
2024-09-01,10,32,21,8,0
2024-09-08,13,34,20,6,0
2024-09-15,9,27,20,8,0
2024-09-22,10,31,21,8,0
2024-09-29,14,30,20,10,0
2024-10-06,10,30,22,7,0
2024-10-13,11,32,19,7,0
2024-10-20,13,33,20,6,0
2024-10-27,14,30,18,10,0
2024-11-03,12,34,15,10,0
2024-11-10,13,27,18,11,0
2024-11-17,9,28,21,9,0
2024-11-24,15,26,19,8,0
2024-12-01,12,31,17,8,0
2024-12-08,12,33,20,10,0
2024-12-15,13,32,23,12,0
2024-12-22,16,34,24,6,0
2024-12-29,14,34,15,10,0
2025-01-05,14,27,18,8,0
2025-01-12,20,33,27,10,5
2025-01-19,17,36,20,6,0
2025-01-26,17,38,19,6,0
2025-02-02,15,31,21,6,0
2025-02-09,13,33,21,6,0
2025-02-16,15,35,23,8,0
2025-02-23,23,34,24,9,0
2025-03-02,26,35,23,6,0
2025-03-09,22,38,29,7,0
2025-03-16,28,41,24,10,0
2025-03-23,22,32,20,7,0
2025-03-30,24,33,23,9,0
2025-04-06,27,36,21,7,0
2025-04-13,28,33,16,7,0
2025-04-20,23,31,21,9,0
2025-04-27,27,31,21,6,0
2025-05-04,22,32,21,9,0
2025-05-11,37,30,20,7,0
2025-05-18,31,33,28,7,0
2025-05-25,38,37,20,9,0
2025-06-01,41,34,21,10,0
2025-06-08,33,34,19,8,0
2025-06-15,34,34,25,6,3
2025-06-22,37,32,24,8,0
2025-06-29,38,41,28,6,0
2025-07-06,41,41,27,10,0
2025-07-13,41,41,27,7,0
2025-07-20,60,54,30,8,0
2025-07-27,75,44,31,6,0
2025-08-03,58,42,28,8,0
2025-08-10,57,30,27,6,0
2025-08-17,62,50,32,7,0
2025-08-24,69,43,26,9,0
2025-08-31,65,44,31,6,0
2025-09-07,80,42,29,8,0
2025-09-14,66,37,29,7,0
2025-09-21,72,30,28,6,0
2025-09-28,66,34,23,6,0
2025-10-05,84,30,23,6,0
2025-10-12,83,31,24,5,0
2025-10-19,100,32,28,8,0
2025-10-26,95,29,25,7,0
2025-11-02,86,31,22,7,0
2025-11-09,90,27,21,11,0
2025-11-16,79,29,22,8,0
2025-11-23,78,26,22,6,0
2025-11-30,67,28,22,6,<1
2025-12-07,73,27,23,6,<1
